id,name,active,region_id,created_at,updated_at
1,"Минск",t,1,"2017-12-07 00:22:09.649347","2017-12-07 00:22:09.649347"
2,"Солигорск",t,1,"2017-12-07 00:23:09.242361","2017-12-07 00:23:09.242361"
3,"Борисов",t,1,"2017-12-07 00:23:11.047096","2017-12-07 00:23:11.047096"
4,"Жодино",t,1,"2017-12-07 00:23:11.680353","2017-12-07 00:23:11.680353"
5,"Слуцк",t,1,"2017-12-07 00:23:12.426614","2017-12-07 00:23:12.426614"
6,"Логойск",t,1,"2017-12-07 00:23:13.307345","2017-12-07 00:23:13.307345"
7,"Молодечно",t,1,"2017-12-07 00:23:13.530942","2017-12-07 00:23:13.530942"
8,"Смолевичи",t,1,"2017-12-07 00:23:13.782652","2017-12-07 00:23:13.782652"
9,"Заславль",t,1,"2017-12-07 00:23:14.090637","2017-12-07 00:23:14.090637"
10,"Брест",t,2,"2017-12-07 00:25:44.232923","2017-12-07 00:25:44.232923"
11,"Пинск",t,2,"2017-12-07 00:25:59.986399","2017-12-07 00:25:59.986399"
12,"Барановичи",t,2,"2017-12-07 00:26:01.332833","2017-12-07 00:26:01.332833"
13,"Кобрин",t,2,"2017-12-07 00:26:02.563637","2017-12-07 00:26:02.563637"
14,"Каменец",t,2,"2017-12-07 00:26:03.382087","2017-12-07 00:26:03.382087"
15,"Витебск",t,3,"2017-12-07 00:26:18.125192","2017-12-07 00:26:18.125192"
16,"Новополоцк",t,3,"2017-12-07 00:26:36.382491","2017-12-07 00:26:36.382491"
17,"Орша",t,3,"2017-12-07 00:26:38.896154","2017-12-07 00:26:38.896154"
18,"Полоцк",t,3,"2017-12-07 00:26:41.017344","2017-12-07 00:26:41.017344"
19,"Браслав",t,3,"2017-12-07 00:26:42.584600","2017-12-07 00:26:42.584600"
20,"Гомель",t,4,"2017-12-07 00:26:53.769376","2017-12-07 00:26:53.769376"
21,"Светлогорск",t,4,"2017-12-07 00:27:08.614019","2017-12-07 00:27:08.614019"
22,"Мозырь",t,4,"2017-12-07 00:27:09.234212","2017-12-07 00:27:09.234212"
23,"Рогачев",t,4,"2017-12-07 00:27:09.564068","2017-12-07 00:27:09.564068"
24,"Жлобин",t,4,"2017-12-07 00:27:09.726181","2017-12-07 00:27:09.726181"
25,"Речица",t,4,"2017-12-07 00:27:09.949153","2017-12-07 00:27:09.949153"
26,"Могилёв",t,5,"2017-12-07 00:27:47.562185","2017-12-07 00:27:47.562185"
27,"Бобруйск",t,5,"2017-12-07 00:28:03.222352","2017-12-07 00:28:03.222352"
28,"Гродно",t,6,"2017-12-07 00:28:51.957038","2017-12-07 00:28:51.957038"
29,"Лида",t,6,"2017-12-07 00:29:07.127024","2017-12-07 00:29:07.127024"
30,"Мир",t,6,"2017-12-07 00:29:07.986787","2017-12-07 00:29:07.986787"
31,"Слоним",t,6,"2017-12-07 00:29:08.425502","2017-12-07 00:29:08.425502"
32,"Волковыск",t,6,"2017-12-07 00:29:08.891252","2017-12-07 00:29:08.891252"
33,"Березино",f,1,"2017-12-08 00:15:46.703733","2017-12-08 00:15:46.703733"
34,"Белоозерск",f,2,"2017-12-08 00:15:46.710130","2017-12-08 00:15:46.710130"
35,"Береза",f,2,"2017-12-08 00:15:46.715432","2017-12-08 00:15:46.715432"
36,"Высокое",f,2,"2017-12-08 00:15:46.724085","2017-12-08 00:15:46.724085"
37,"Ганцевичи",f,2,"2017-12-08 00:15:46.731811","2017-12-08 00:15:46.731811"
38,"Давид-Городок",f,2,"2017-12-08 00:15:46.737187","2017-12-08 00:15:46.737187"
39,"Барань",f,3,"2017-12-08 00:15:46.742765","2017-12-08 00:15:46.742765"
40,"Верхнедвинск",f,3,"2017-12-08 00:15:46.747859","2017-12-08 00:15:46.747859"
41,"Глубокое",f,3,"2017-12-08 00:15:46.752965","2017-12-08 00:15:46.752965"
42,"Городок",f,3,"2017-12-08 00:15:46.757911","2017-12-08 00:15:46.757911"
43,"Дисна",f,3,"2017-12-08 00:15:46.763450","2017-12-08 00:15:46.763450"
44,"Буда-Кошелево",f,4,"2017-12-08 00:15:46.769274","2017-12-08 00:15:46.769274"
45,"Василевичи",f,4,"2017-12-08 00:15:46.774054","2017-12-08 00:15:46.774054"
46,"Ветка",f,4,"2017-12-08 00:15:46.778695","2017-12-08 00:15:46.778695"
47,"Добруш",f,4,"2017-12-08 00:15:46.784161","2017-12-08 00:15:46.784161"
48,"Быхов",f,5,"2017-12-08 00:15:46.790004","2017-12-08 00:15:46.790004"
49,"Горки",f,5,"2017-12-08 00:15:46.797260","2017-12-08 00:15:46.797260"
50,"Кировск",f,5,"2017-12-08 00:15:46.801505","2017-12-08 00:15:46.801505"
51,"Климовичи",f,5,"2017-12-08 00:15:46.806857","2017-12-08 00:15:46.806857"
52,"Кличев",f,5,"2017-12-08 00:15:46.815690","2017-12-08 00:15:46.815690"
53,"Костюковичи",f,5,"2017-12-08 00:15:46.821529","2017-12-08 00:15:46.821529"
54,"Кричев",f,5,"2017-12-08 00:15:46.829288","2017-12-08 00:15:46.829288"
55,"Мстиславль",f,5,"2017-12-08 00:15:46.835556","2017-12-08 00:15:46.835556"
56,"Березовка",f,6,"2017-12-08 00:15:46.842836","2017-12-08 00:15:46.842836"
57,"Дятлово",f,6,"2017-12-08 00:15:46.848357","2017-12-08 00:15:46.848357"
58,"Ивье",f,6,"2017-12-08 00:15:46.854111","2017-12-08 00:15:46.854111"
59,"Мосты",f,6,"2017-12-08 00:15:46.860161","2017-12-08 00:15:46.860161"
60,"Новогрудок",f,6,"2017-12-08 00:15:46.865436","2017-12-08 00:15:46.865436"
